ID,Start time,Completion time,Email,Name,Last modified time,"What year level are you in?
",How long does it take you to travel to school (one way)?,How do you usually get to school?,How many people are in your family (including yourself)?,Which type of learning activities do you tend to enjoy most?,Which language are you currently studying (or have studied the longest)?,What grade do you usually achieve overall?,When do you usually complete your homework?,How do you usually study?,"When preparing for assessments, you usually:",What type of homework do you find most useful?,"On average, how many hours per day do you spend on your phone?","On average, how many hours per week do you spend on social media/messages/gaming?",Do you think you spend more time on social media than you should?,How often do you use AI to help with homework?,What do you mainly use your device for during a school week?,How comfortable are you using new technology tools?,Would you trust Linewize with your Trinity password?,How many hours of sleep do you get on a typical school night?,What time of day are you most productive?,How many days per week do you participate in physical activity?,Which sport do you participate in after school? (Select all that apply),How many extracurricular commitments do you have per week?,"On weekends, you mostly spend your time:",How do you prefer to receive instructions?,"When working on a difficult problem, you usually:",How organised do you consider yourself?,"When given a long-term project, you usually:",Do you prefer structure or flexibility in tasks?,Group projects or solo work?,Where do you usually spend lunchtime?,Which co-curricular area interests you most?,Which house event do you enjoy the most?,Pineapple on pizza?,Dogs or cats?,What type of music do you listen to most?,Do you prefer working in silence or with background noise?,How many languages can you speak confidently?,Which of the following is a berry?,"What year level are you in?
2"
53,2/27/26 10:33:42,2/27/26 10:41:28,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Experiments and investigations,French,A,After school,Independently,Prepare gradually,Revision summaries,3–4 hours,6–10 hours,No,Often,Entertainment,Very comfortable,No,7-8 hours,During school,3-4,Tennis;,1-2,Gaming,Demonstration/example,Ask a teacher,Somewhat organised,Start early,Some structure,Depends on the task,Senior School Quad,Sport,HPAF,No,Cats,Rap/Hip-hop,Quiet background noise,1,Banana,Year 9
54,2/27/26 10:34:38,2/27/26 10:41:55,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Physical activity and movement,French,B,Late at night,Independently,Do a quick review before the assessment,Project-based tasks,0–2 hours,11–20 hours,Not sure,Often,Gaming,Neutral,No,7-8 hours,Late at night,3-4,Soccer;Basketball;,3-4,Socialising,Written steps,Take a break and return later,Very disorganised,Start halfway,Very flexible,Group projects,Oval,Sport,HPAF,Yes,Cats,Rap/Hip-hop,Music,1,Banana,Year 9
55,2/27/26 10:35:21,2/27/26 10:42:02,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Business and real-world applications,French,B,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,0–5 hours,No,Sometimes,Communication,Slightly uncomfortable,No,7-8 hours,During school,7,Football;Touch Football;,7+,Sport,Demonstration/example,Keep trying independently,Somewhat disorganised,Start halfway,Balanced,Solo work,Library,Community/Outreach,HPAF,No,Dogs,Other,Music,2,Banana,Year 9
56,2/27/26 10:38:49,2/27/26 10:42:05,anonymous,,,Year 9,31–60 minutes,Bus,1-3,Reading and writing,Chinese,A,Late at night,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Never,School work,Comfortable,Yes,7-8 hours,During school,3-4,Archery;Soccer;Badminton;,1-2,Studying,Figure it out myself,Keep trying independently,Neutral,Start halfway,Some structure,Depends on the task,Library,Sport,HPAF,Yes,Cats,Other,Quiet background noise,2,Strawberry,Year 9
57,2/27/26 10:39:50,2/27/26 10:42:17,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Not studying a language,B,After school,Independently,Start early and plan,Revision summaries,3–4 hours,0–5 hours,No,Often,School work,Slightly uncomfortable,No,8-9 hours,During school,5-6,Basketball;Football;,3-4,Sport,Verbal explanation,Search online,Neutral,Start halfway,Some structure,Group projects,Oval,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Quiet background noise,1,Strawberry,Year 9
58,2/27/26 10:37:11,2/27/26 10:42:26,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,Not studying a language,B,Late at night,Independently,Start early and plan,Revision summaries,5–6 hours,21–35 hours,Yes,Rarely,School work,Very comfortable,No,6-7 hours,After school,1-2,Basketball;Soccer;,0,Socialising,Demonstration/example,Keep trying independently,Somewhat organised,Start immediately,Balanced,Group projects,Library,Music,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
59,2/27/26 10:36:17,2/27/26 10:42:45,anonymous,,,Year 9,More than 60 minutes,Walk,6-7,Experiments and investigations,Not studying a language,D or below,Late at night,Independently,Focus closer to the assessment date,All equally useful,9+ hours,36+ hours,Yes,Never,Social media,Very uncomfortable,No,Less than 6 hours,Late at night,7,Archery;Basketball;Cricket;Competitive Swimming;Cross Country;Football;Hockey;Rugby;Soccer;Tennis;Touch Football;Volleyball;Fencing;Table Tennis;Cycling;Badminton;Squash;Rowing;,7+,Gaming,Figure it out myself,Take a break and return later,Very disorganised,Start close to the deadline,Very flexible,Depends on the task,Oval,Community/Outreach,None,Yes,Dogs,Rap/Hip-hop,Busy environment,4+,Brocoli,Year 9
60,2/27/26 10:37:41,2/27/26 10:42:55,anonymous,,,Year 9,15–30 minutes,Tram/Train,1-3,Physical activity and movement,Not studying a language,A,Late at night,Independently,Do a quick review before the assessment,Practice questions,0–2 hours,0–5 hours,No,Sometimes,Communication,Very comfortable,No,6-7 hours,During school,7,Rowing;Rugby;,1-2,Sport,Figure it out myself,Search online,Neutral,Start immediately,Very flexible,Group projects,Batson Quad,Sport,Cross Country,Yes,Dogs,Rap/Hip-hop,Busy environment,1,Strawberry,Year 9
61,2/27/26 10:40:05,2/27/26 10:42:55,anonymous,,,Year 9,31–60 minutes,Car,4-5,Problem-solving and calculations,Latin,A,Late at night,Independently,Do a quick review before the assessment,All equally useful,0–2 hours,11–20 hours,No,Never,Gaming,Very comfortable,No,6-7 hours,Late at night,1-2,Tennis;,7+,Studying,Demonstration/example,Ask a teacher,Very organised,Start immediately,Strong structure,Solo work,Library,Clubs/Societies,None,No,Dogs,Pop,Music,2,Strawberry,Year 9
62,2/27/26 10:40:18,2/27/26 10:43:16,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Technology and coding,German,A+,After school,Independently,Prepare gradually,All equally useful,0–2 hours,11–20 hours,Not sure,Rarely,Entertainment,Very comfortable,Yes,8-9 hours,During school,3-4,Archery;Soccer;,5-6,Family time,Video,Search online,Very organised,Start halfway,Balanced,Solo work,Clubs/Activities,Music,HPAF,Yes,Cats,Rock,Music,1,Banana,Year 9
63,2/27/26 10:40:05,2/27/26 10:43:22,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,Latin,B,Late at night,Independently,Focus closer to the assessment date,Project-based tasks,0–2 hours,0–5 hours,No,Sometimes,School work,Comfortable,No,8-9 hours,Before school,5-6,Rowing;Rugby;,1-2,Gaming,Demonstration/example,Search online,Somewhat organised,Start early,Some structure,Depends on the task,Gym,Sport,Athletics Carnival,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
64,2/27/26 10:38:22,2/27/26 10:43:27,anonymous,,,Year 9,31–60 minutes,Car,4-5,Reading and writing,Chinese,B,Late at night,Independently,Do a quick review before the assessment,Practice questions,5–6 hours,11–20 hours,Yes,Often,Entertainment,Very comfortable,No,6-7 hours,Late at night,5-6,Basketball;,1-2,Family time,Demonstration/example,Search online,Somewhat organised,Start halfway,Strong structure,Depends on the task,Library,Sport,Cross Country,No,Dogs,Rap/Hip-hop,Complete silence,2,Strawberry,Year 9
65,2/27/26 10:36:18,2/27/26 10:43:32,anonymous,,,Year 9,Under 15 minutes,Car,6-7,Physical activity and movement,Not studying a language,A+,Late at night,Independently,Focus closer to the assessment date,Practice questions,9+ hours,36+ hours,No,Never,School work,Neutral,No,6-7 hours,Late at night,7,Basketball;,7+,Sport,Demonstration/example,Ask a teacher,Neutral,Start close to the deadline,Balanced,Depends on the task,Batson Quad,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
66,2/27/26 10:38:28,2/27/26 10:43:40,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,Not studying a language,C,After school,Independently,Start early and plan,All equally useful,3–4 hours,11–20 hours,Yes,Rarely,School work,Comfortable,No,7-8 hours,After school,5-6,Basketball;Rugby;,5-6,Socialising,Demonstration/example,Ask a teacher,Neutral,Start early,Flexible,Group projects,Oval,Sport,Athletics Carnival,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
67,2/27/26 10:38:25,2/27/26 10:43:51,anonymous,,,Year 9,31–60 minutes,Walk,4-5,Technology and coding,Latin,A+,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Comfortable,No,9+ hours,During school,5-6,Football;Hockey;Rugby;Soccer;Touch Football;,3-4,Studying,Demonstration/example,Take a break and return later,Somewhat organised,Start early,Strong structure,Depends on the task,Library,Sport,None,No,Cats,Other,Music,2,Strawberry,Year 9
68,2/27/26 10:39:47,2/27/26 10:44:02,anonymous,,,Year 9,15–30 minutes,Car,4-5,Technology and coding,French,A,Late at night,Independently,Focus closer to the assessment date,Project-based tasks,9+ hours,36+ hours,Not sure,Very often,Social media,Very comfortable,No,Less than 6 hours,After school,5-6,Basketball;Rugby;,3-4,Sport,Demonstration/example,Search online,Somewhat organised,Start immediately,Very flexible,Depends on the task,Library,Sport,None,Yes,Dogs,Other,Music,3,Banana,Year 9
69,2/27/26 10:40:24,2/27/26 10:44:05,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,Chinese,A,After school,Independently,Focus closer to the assessment date,Project-based tasks,3–4 hours,11–20 hours,No,Often,Entertainment,Comfortable,No,8-9 hours,After school,3-4,Hockey;Badminton;,3-4,Sport,Demonstration/example,Search online,Neutral,Start close to the deadline,Very flexible,Group projects,Library,Sport,HPAF,No,Dogs,Other,Complete silence,3,Strawberry,Year 9
70,2/27/26 10:39:55,2/27/26 10:44:05,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,Latin,A+,Late at night,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,21–35 hours,No,Sometimes,School work,Comfortable,Yes,7-8 hours,Late at night,5-6,Basketball;,1-2,Gaming,Demonstration/example,Search online,Somewhat organised,Start halfway,Some structure,Depends on the task,Senior School Quad,Sport,HPAF,No,Dogs,R&B,Quiet background noise,1,Strawberry,Year 9
71,2/27/26 10:40:04,2/27/26 10:44:16,anonymous,,,Year 9,15–30 minutes,Car,1-3,Business and real-world applications,French,A,After school,Independently,Focus closer to the assessment date,Project-based tasks,0–2 hours,0–5 hours,No,Sometimes,Communication,Comfortable,No,8-9 hours,After school,7,Basketball;Tennis;,7+,Sport,Demonstration/example,Ask a friend,Very organised,Start early,Flexible,Depends on the task,Senior School Quad,Sport,HPAF,No,Dogs,Pop,Music,3,Banana,Year 9
72,2/27/26 10:39:49,2/27/26 10:44:17,anonymous,,,Year 9,15–30 minutes,Car,4-5,Physical activity and movement,Chinese,B,After school,With a tutor/teacher,Prepare gradually,Revision summaries,3–4 hours,0–5 hours,No,Rarely,School work,Neutral,Yes,8-9 hours,After school,5-6,Rowing;,0,Family time,Written steps,Search online,Neutral,Start early,Balanced,Group projects,Library,Music,HPAF,No,Cats,Other,Quiet background noise,1,Strawberry,Year 9
73,2/27/26 10:39:38,2/27/26 10:44:20,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Experiments and investigations,Chinese,A,Late at night,With friends,Do a quick review before the assessment,All equally useful,3–4 hours,6–10 hours,No,Very often,Communication,Very comfortable,No,6-7 hours,After school,3-4,Basketball;Soccer;Tennis;Table Tennis;Badminton;,3-4,Studying,Figure it out myself,Ask a friend,Somewhat organised,Start close to the deadline,Flexible,Group projects,Senior School Quad,Sport,None,Yes,Dogs,K-pop,Quiet background noise,1,Banana,Year 9
74,2/27/26 10:38:34,2/27/26 10:44:23,anonymous,,,Year 9,More than 60 minutes,Bus,4-5,Problem-solving and calculations,German,A+,During school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,No,Rarely,School work,Comfortable,Yes,8-9 hours,After school,7,Volleyball;,5-6,Gaming,Demonstration/example,Ask a teacher,Neutral,Start early,Balanced,Depends on the task,Library,Sport,None,Yes,Dogs,K-pop,Quiet background noise,2,Strawberry,Year 9
75,2/27/26 10:33:44,2/27/26 10:44:28,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Technology and coding,Latin,A,Late at night,Independently,Focus closer to the assessment date,Revision summaries,0–2 hours,6–10 hours,Yes,Rarely,School work,Comfortable,No,7-8 hours,Late at night,5-6,Badminton;,5-6,Gaming,Written steps,Keep trying independently,Somewhat organised,Start halfway,Balanced,Depends on the task,Library,Clubs/Societies,None,Yes,Dogs,Other,Music,1,Banana,Year 9
76,2/27/26 10:38:24,2/27/26 10:44:29,anonymous,,,Year 9,15–30 minutes,Car,4-5,Business and real-world applications,German,A,Late at night,Independently,Start early and plan,All equally useful,3–4 hours,6–10 hours,No,Sometimes,School work,Neutral,No,7-8 hours,During school,3-4,Tennis;,3-4,Creative hobbies,Verbal explanation,Ask a teacher,Somewhat organised,Start immediately,Balanced,Depends on the task,Library,Sport,None,Yes,Cats,Other,Music,2,Banana,Year 9
77,2/27/26 10:39:53,2/27/26 10:44:36,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Physical activity and movement,French,B,After school,With a tutor/teacher,Prepare gradually,All equally useful,3–4 hours,0–5 hours,Yes,Sometimes,School work,Very comfortable,No,8-9 hours,After school,3-4,Cricket;Soccer;Table Tennis;,1-2,Family time,Video,Take a break and return later,Somewhat disorganised,Start early,Balanced,Depends on the task,Senior School Quad,Sport,HPAF,No,Dogs,Pop,Music,2,Strawberry,Year 9
78,2/27/26 10:39:48,2/27/26 10:44:48,anonymous,,,Year 9,15–30 minutes,Walk,1-3,Reading and writing,German,A+,During school,Independently,Do a quick review before the assessment,Reading,3–4 hours,11–20 hours,No,Never,School work,Very comfortable,No,6-7 hours,During school,7,Rowing;,5-6,Gaming,Figure it out myself,Ask a friend,Very organised,Start close to the deadline,Strong structure,Depends on the task,Clubs/Activities,Clubs/Societies,Swimming,No,Dogs,Rock,Complete silence,1,Banana,Year 9
79,2/27/26 10:41:30,2/27/26 10:44:48,anonymous,,,Year 9,More than 60 minutes,Walk,8+,Problem-solving and calculations,Chinese,D or below,Before school,With a tutor/teacher,Do a quick review before the assessment,Reading,9+ hours,36+ hours,No,Very often,Social media,Very uncomfortable,No,9+ hours,Before school,7,Squash;,7+,Family time,Figure it out myself,Take a break and return later,Neutral,Start close to the deadline,Strong structure,Solo work,Clubs/Activities,Community/Outreach,None,Yes,Cats,Country,Busy environment,4+,Brocoli,Year 13
80,2/27/26 10:38:30,2/27/26 10:44:53,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Reading and writing,Latin,A+,During school,Independently,Focus closer to the assessment date,Practice questions,3–4 hours,36+ hours,No,Rarely,Entertainment,Very comfortable,No,7-8 hours,During school,7,Volleyball;,3-4,Gaming,Figure it out myself,Keep trying independently,Neutral,Start close to the deadline,Balanced,Group projects,Library,Sport,None,No,Cats,Other,Music,2,Strawberry,Year 9
81,2/27/26 10:39:47,2/27/26 10:44:53,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Experiments and investigations,Not studying a language,B,Late at night,Independently,Focus closer to the assessment date,Revision summaries,3–4 hours,21–35 hours,Yes,Sometimes,Social media,Comfortable,No,8-9 hours,During school,7,Basketball;Football;,3-4,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start early,Some structure,Group projects,Oval,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
82,2/27/26 10:40:02,2/27/26 10:45:08,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Physical activity and movement,German,A,Late at night,Independently,Prepare gradually,Revision summaries,3–4 hours,11–20 hours,Not sure,Rarely,School work,Comfortable,No,7-8 hours,During school,7,Basketball;Cricket;,7+,Sport,Verbal explanation,Keep trying independently,Somewhat organised,Start early,Some structure,Depends on the task,Oval,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
83,2/27/26 10:40:41,2/27/26 10:45:18,anonymous,,,Year 9,15–30 minutes,Car,4-5,Business and real-world applications,French,A,After school,Independently,Prepare gradually,Practice questions,5–6 hours,6–10 hours,Not sure,Sometimes,Social media,Neutral,No,8-9 hours,During school,1-2,Tennis;,1-2,Socialising,Verbal explanation,Search online,Somewhat organised,Start immediately,Balanced,Solo work,Senior School Quad,Sport,None,No,Dogs,Rap/Hip-hop,Complete silence,1,Strawberry,Year 9
84,2/27/26 10:40:06,2/27/26 10:45:18,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Problem-solving and calculations,French,A+,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,6–10 hours,No,Often,School work,Very comfortable,No,Less than 6 hours,After school,5-6,Cricket;Football;,7+,Sport,Written steps,Keep trying independently,Very organised,Start halfway,Strong structure,Depends on the task,Senior School Quad,Sport,Swimming,Yes,Dogs,Other,Complete silence,1,Banana,Year 9
85,2/27/26 10:41:40,2/27/26 10:45:22,anonymous,,,Year 9,15–30 minutes,Walk,1-3,Problem-solving and calculations,German,A,After school,With a tutor/teacher,Prepare gradually,Practice questions,3–4 hours,11–20 hours,Yes,Sometimes,Communication,Very comfortable,No,8-9 hours,After school,7,Tennis;Basketball;Football;,3-4,Socialising,Demonstration/example,Ask a teacher,Somewhat organised,Start immediately,Some structure,Depends on the task,Senior School Quad,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
86,2/27/26 10:41:07,2/27/26 10:45:32,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Problem-solving and calculations,French,A,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,0–5 hours,No,Sometimes,School work,Comfortable,No,8-9 hours,During school,3-4,Soccer;Touch Football;,3-4,Creative hobbies,Demonstration/example,Search online,Neutral,Start early,Some structure,Depends on the task,Oval,Sport,HPAF,No,Cats,Pop,Quiet background noise,1,Strawberry,Year 9
87,2/27/26 10:41:35,2/27/26 10:45:42,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,French,B,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,11–20 hours,No,Often,Gaming,Comfortable,No,6-7 hours,During school,5-6,Hockey;,1-2,Socialising,Demonstration/example,Take a break and return later,Somewhat disorganised,Start close to the deadline,Balanced,Depends on the task,Senior School Quad,Sport,HPAF,No,Cats,Rap/Hip-hop,Quiet background noise,1,Strawberry,Year 9
88,2/27/26 10:39:45,2/27/26 10:45:46,anonymous,,,Year 9,Under 15 minutes,Walk,4-5,Problem-solving and calculations,German,A+,Late at night,With a tutor/teacher,Prepare gradually,Practice questions,0–2 hours,0–5 hours,No,Often,School work,Very comfortable,No,8-9 hours,Late at night,7,Tennis;Cross Country;Competitive Swimming;,7+,Socialising,Figure it out myself,Search online,Very organised,Start halfway,Strong structure,Solo work,Library,Sport,Athletics Carnival,Yes,Dogs,Pop,Music,2,Banana,Year 9
89,2/27/26 10:40:35,2/27/26 10:45:47,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Technology and coding,Chinese,A,After school,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,6–10 hours,Yes,Often,School work,Slightly uncomfortable,No,8-9 hours,During school,1-2,Table Tennis;Badminton;,3-4,Studying,Demonstration/example,Search online,Somewhat organised,Start halfway,Flexible,Group projects,Senior School Quad,Clubs/Societies,HPAF,No,Cats,Pop,Complete silence,2,Brocoli,Year 9
90,2/27/26 10:40:41,2/27/26 10:45:48,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,German,A,After school,With friends,Prepare gradually,Revision summaries,5–6 hours,11–20 hours,Not sure,Sometimes,Entertainment,Comfortable,No,8-9 hours,During school,3-4,Tennis;Table Tennis;Badminton;,5-6,Creative hobbies,Demonstration/example,Ask a teacher,Somewhat organised,Start early,Flexible,Depends on the task,Clubs/Activities,Clubs/Societies,Athletics Carnival,No,Cats,Pop,Music,3,Banana,Year 9
91,2/27/26 10:39:42,2/27/26 10:45:50,anonymous,,,Year 9,Under 15 minutes,Car,6-7,Physical activity and movement,German,B,After school,Independently,Start early and plan,Practice questions,0–2 hours,0–5 hours,Yes,Rarely,School work,Neutral,No,8-9 hours,During school,7,Competitive Swimming;Soccer;Tennis;Table Tennis;Cycling;,3-4,Family time,Written steps,Search online,Somewhat organised,Start immediately,Balanced,Depends on the task,Oval,Sport,Swimming,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
92,2/27/26 10:38:27,2/27/26 10:45:51,anonymous,,,Year 9,31–60 minutes,Bus,4-5,Problem-solving and calculations,French,A,Late at night,Independently,Focus closer to the assessment date,Revision summaries,3–4 hours,6–10 hours,Yes,Often,School work,Very comfortable,No,7-8 hours,During school,3-4,Basketball;Hockey;,3-4,Socialising,Demonstration/example,Take a break and return later,Somewhat organised,Start early,Some structure,Depends on the task,Senior School Quad,Music,HPAF,No,Cats,Rock,Complete silence,1,Banana,Year 7
93,2/27/26 10:41:29,2/27/26 10:45:57,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,French,B,After school,Independently,Prepare gradually,All equally useful,0–2 hours,0–5 hours,Yes,Rarely,School work,Comfortable,Not sure,7-8 hours,After school,7,Basketball;,3-4,Sport,Verbal explanation,Ask a teacher,Somewhat organised,Start early,Balanced,Solo work,Gym,Sport,Athletics Carnival,No,Dogs,R&B,Music,1,Strawberry,Year 9
94,2/27/26 10:35:13,2/27/26 10:45:58,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,Not studying a language,B,During school,Independently,Prepare gradually,Practice questions,3–4 hours,21–35 hours,Yes,Never,School work,Comfortable,No,9+ hours,After school,7,Basketball;Football;Soccer;Cricket;,0,Creative hobbies,Video,Ask a friend,Somewhat organised,Start early,Very flexible,Group projects,Oval,Community/Outreach,HPAF,Yes,Dogs,Rap/Hip-hop,Music,1,Strawberry,Year 9
95,2/27/26 10:40:20,2/27/26 10:46:02,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Business and real-world applications,French,A,After school,Independently,Prepare gradually,Project-based tasks,3–4 hours,11–20 hours,Yes,Sometimes,Entertainment,Comfortable,No,8-9 hours,During school,5-6,Basketball;Soccer;,3-4,Socialising,Demonstration/example,Keep trying independently,Somewhat organised,Start early,Balanced,Group projects,Clubs/Activities,Sport,HPAF,No,Dogs,Rap/Hip-hop,Music,2,Banana,Year 9
96,2/27/26 10:41:56,2/27/26 10:46:16,anonymous,,,Year 9,More than 60 minutes,Tram/Train,4-5,Technology and coding,Latin,B,Late at night,Independently,Focus closer to the assessment date,Project-based tasks,0–2 hours,0–5 hours,Not sure,Very often,Entertainment,Very comfortable,No,Less than 6 hours,Late at night,1-2,Badminton;Table Tennis;,1-2,Creative hobbies,Demonstration/example,Keep trying independently,Very disorganised,Start close to the deadline,Very flexible,Depends on the task,Library,Clubs/Societies,None,Yes,Dogs,Other,Complete silence,2,Brocoli,Year 9
97,2/27/26 10:40:10,2/27/26 10:46:16,anonymous,,,Year 9,15–30 minutes,Tram/Train,4-5,Physical activity and movement,French,A,After school,Independently,Focus closer to the assessment date,Practice questions,0–2 hours,6–10 hours,No,Rarely,School work,Neutral,No,8-9 hours,After school,7,Rowing;Tennis;,1-2,Socialising,Demonstration/example,Search online,Very organised,Start early,Some structure,Depends on the task,Oval,Sport,HPAF,No,Dogs,Other,Quiet background noise,1,Strawberry,Year 9
98,2/27/26 10:40:40,2/27/26 10:46:24,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Problem-solving and calculations,German,A,After school,Independently,Start early and plan,All equally useful,0–2 hours,0–5 hours,No,Sometimes,Entertainment,Comfortable,No,9+ hours,After school,3-4,Tennis;Hockey;,3-4,Studying,Figure it out myself,Ask a teacher,Somewhat organised,Start early,Strong structure,Solo work,Library,Music,None,No,Cats,Other,Complete silence,2,Strawberry,Year 9
99,2/27/26 10:39:46,2/27/26 10:46:25,anonymous,,,Year 9,Under 15 minutes,Car,4-5,Physical activity and movement,German,B,After school,Independently,Start early and plan,All equally useful,0–2 hours,0–5 hours,No,Rarely,Entertainment,Comfortable,No,9+ hours,During school,5-6,Touch Football;Basketball;Football;,5-6,Sport,Demonstration/example,Ask a teacher,Somewhat organised,Start immediately,Some structure,Group projects,Oval,Sport,Athletics Carnival,No,Dogs,Pop,Quiet background noise,1,Strawberry,Year 9
100,2/27/26 10:40:17,2/27/26 10:46:26,anonymous,,,Year 9,31–60 minutes,Tram/Train,4-5,Physical activity and movement,French,A,After school,Independently,Focus closer to the assessment date,All equally useful,0–2 hours,6–10 hours,Yes,Rarely,Communication,Neutral,Not sure,8-9 hours,During school,5-6,Basketball;Football;,3-4,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start immediately,Balanced,Depends on the task,Oval,Sport,HPAF,Yes,Dogs,R&B,Quiet background noise,1,Strawberry,Year 9
101,2/27/26 10:39:50,2/27/26 10:46:27,anonymous,,,Year 9,15–30 minutes,Car,6-7,Problem-solving and calculations,French,A,After school,Independently,Focus closer to the assessment date,Revision summaries,0–2 hours,0–5 hours,No,Rarely,School work,Comfortable,Yes,6-7 hours,After school,3-4,Tennis;Soccer;,3-4,Studying,Figure it out myself,Search online,Somewhat organised,Start early,Some structure,Depends on the task,Library,Sport,Cross Country,Yes,Cats,Rap/Hip-hop,Music,1,Banana,Year 9
102,2/27/26 10:43:07,2/27/26 10:46:34,anonymous,,,Year 9,15–30 minutes,Bike,4-5,Problem-solving and calculations,Chinese,A+,During school,Independently,Do a quick review before the assessment,Practice questions,3–4 hours,6–10 hours,Yes,Never,School work,Very comfortable,No,7-8 hours,After school,3-4,Cycling;,5-6,Studying,Figure it out myself,Keep trying independently,Somewhat organised,Start immediately,Some structure,Solo work,Library,Clubs/Societies,None,Yes,Cats,Other,Complete silence,1,Banana,Year 9
103,2/27/26 10:40:45,2/27/26 10:46:34,anonymous,,,Year 9,31–60 minutes,Car,4-5,Physical activity and movement,Chinese,A,Late at night,Independently,Do a quick review before the assessment,Revision summaries,3–4 hours,21–35 hours,No,Sometimes,School work,Comfortable,No,6-7 hours,Late at night,7,Basketball;,7+,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start halfway,Some structure,Depends on the task,Library,Sport,HPAF,No,Dogs,Pop,Quiet background noise,2,Strawberry,Year 9
104,2/27/26 10:40:20,2/27/26 10:46:35,anonymous,,,Year 9,15–30 minutes,Bus,4-5,Physical activity and movement,German,A,Late at night,Independently,Do a quick review before the assessment,All equally useful,3–4 hours,21–35 hours,No,Often,Entertainment,Very comfortable,No,7-8 hours,Late at night,5-6,Volleyball;,1-2,Gaming,Written steps,Search online,Somewhat organised,Start close to the deadline,Balanced,Group projects,Oval,Sport,Athletics Carnival,No,Dogs,Pop,Quiet background noise,1,Banana,Year 9
105,2/27/26 10:39:17,2/27/26 10:46:41,anonymous,,,Year 9,15–30 minutes,Walk,4-5,Physical activity and movement,Latin,A,After school,With friends,Focus closer to the assessment date,Project-based tasks,3–4 hours,11–20 hours,Yes,Sometimes,School work,Comfortable,No,8-9 hours,During school,7,Basketball;Football;,7+,Sport,Demonstration/example,Ask a friend,Somewhat organised,Start halfway,Very flexible,Depends on the task,Oval,Sport,Athletics Carnival,No,Dogs,Other,Music,1,Strawberry,Year 9
106,2/27/26 10:42:26,2/27/26 10:46:44,anonymous,,,Year 9,15–30 minutes,Car,4-5,Experiments and investigations,German,A+,After school,Independently,Do a quick review before the assessment,Reading,3–4 hours,6–10 hours,Yes,Rarely,Gaming,Comfortable,No,6-7 hours,Late at night,3-4,Archery;,5-6,Studying,Figure it out myself,Take a break and return later,Somewhat disorganised,Start close to the deadline,Balanced,Depends on the task,Senior School Quad,Music,None,No,Dogs,Other,Music,2,Strawberry,Year 9
